"","trap","station","s25","s50","s100"
"1","1",1,1,1,1
"2","2",1,1,1,1
"3","3",1,1,1,1
"4","4",1,1,1,1
"5","5",1,1,1,1
"6","6",1,1,1,1
"7","7",1,1,1,1
"8","8",1,0,1,1
"9","9",1,0,1,1
"10","10",1,0,0,1
"11","11",1,0,0,1
"12","12",1,0,0,1
"13","13",1,0,0,0
"14","14",1,0,0,0
"15","15",1,0,0,0
"16","16",1,0,0,0
"17","17",1,0,0,0
"18","18",1,0,0,0
"19","19",1,0,0,0
"20","20",1,0,0,0
"21","21",1,0,0,0
"22","22",1,0,0,0
"23","23",1,0,0,0
"24","24",1,0,0,0
"25","25",1,0,0,0
"26","26",1,0,0,0
"27","27",1,0,0,0
"28","28",1,0,0,0
"29","29",1,0,0,0
"30","30",1,0,0,0
"31","31",1,0,0,0
"32","32",1,0,0,0
"33","33",1,0,0,0
"34","34",1,0,0,0
"35","35",1,0,0,0
"36","36",1,0,0,0
"37","37",1,0,0,0
"38","38",1,0,0,0
"39","39",1,0,0,0
"40","40",1,0,0,0
"41","41",1,0,0,0
"42","42",1,0,0,0
"43","43",1,0,0,0
"44","44",1,0,0,0
"45","45",1,0,0,0
"46","1",2,0,0,0
"47","2",2,0,0,0
"48","3",2,0,0,0
"49","4",2,0,0,0
"50","5",2,0,0,0
"51","6",2,0,0,0
"52","7",2,0,0,0
"53","8",2,0,0,0
"54","9",2,0,0,0
"55","10",2,0,0,0
"56","11",2,0,0,0
"57","12",2,0,0,0
"58","13",2,0,0,1
"59","14",2,0,0,1
"60","15",2,1,1,1
"61","16",2,1,1,1
"62","17",2,1,1,1
"63","18",2,0,1,1
"64","19",2,0,1,1
"65","20",2,0,0,1
"66","21",2,0,0,1
"67","22",2,0,0,1
"68","23",2,0,0,1
"69","24",2,0,0,1
"70","25",2,0,0,1
"71","26",2,0,0,0
"72","27",2,0,0,0
"73","28",2,0,0,0
"74","29",2,0,0,0
"75","30",2,0,0,1
"76","31",2,0,0,1
"77","32",2,0,0,1
"78","33",2,0,0,1
"79","34",2,0,0,1
"80","35",2,0,0,1
"81","36",2,0,0,1
"82","37",2,0,0,1
"83","38",2,0,0,1
"84","39",2,0,0,1
"85","40",2,0,0,1
"86","41",2,0,0,0
"87","42",2,0,1,1
"88","43",2,0,1,1
"89","44",2,1,1,1
"90","45",2,1,1,1
"91","1",3,0,0,0
"92","2",3,0,0,0
"93","3",3,0,0,0
"94","4",3,0,0,0
"95","5",3,0,0,0
"96","6",3,0,0,0
"97","7",3,0,0,0
"98","8",3,0,0,0
"99","9",3,0,0,0
"100","10",3,0,0,0
"101","11",3,0,0,0
"102","12",3,0,0,0
"103","13",3,0,0,0
"104","14",3,0,0,0
"105","15",3,0,0,1
"106","16",3,0,0,1
"107","17",3,0,0,1
"108","18",3,0,0,1
"109","19",3,0,0,1
"110","20",3,0,0,1
"111","21",3,0,0,1
"112","22",3,0,1,1
"113","23",3,0,1,1
"114","24",3,1,1,1
"115","25",3,1,1,1
"116","26",3,0,1,1
"117","27",3,0,1,1
"118","28",3,0,1,1
"119","29",3,0,1,1
"120","30",3,0,1,1
"121","31",3,1,1,1
"122","32",3,1,1,1
"123","33",3,0,1,1
"124","34",3,0,1,1
"125","35",3,0,1,1
"126","36",3,0,0,1
"127","37",3,1,1,1
"128","38",3,1,1,1
"129","39",3,1,1,1
"130","40",3,1,1,1
"131","41",3,0,1,1
"132","42",3,0,1,1
"133","43",3,0,0,1
"134","44",3,0,0,1
"135","45",3,0,0,1
"136","1a",4,0,0,0
"137","1b",4,0,0,0
"138","1c",4,0,0,0
"139","2a",4,0,0,0
"140","2b",4,0,0,0
"141","2c",4,0,0,0
"142","3a",4,0,0,1
"143","3b",4,0,0,1
"144","3c",4,0,0,1
"145","4a",4,0,0,1
"146","4b",4,0,0,1
"147","4c",4,0,0,1
"148","5a",4,0,0,1
"149","5b",4,0,0,1
"150","5c",4,0,0,1
"151","6a",4,0,0,1
"152","6b",4,0,1,1
"153","6c",4,0,1,1
"154","6d",4,0,1,1
"155","7a",4,0,1,1
"156","7b",4,0,1,1
"157","7c",4,0,1,1
"158","7d",4,0,1,1
"159","8a",4,1,1,1
"160","8b",4,1,1,1
"161","8c",4,1,1,1
"162","8d",4,1,1,1
"163","9a",4,1,1,1
"164","9b",4,1,1,1
"165","9c",4,1,1,1
"166","10a",4,1,1,1
"167","10b",4,1,1,1
"168","10c",4,1,1,1
"169","11a",4,1,1,1
"170","11b",4,1,1,1
"171","11c",4,1,1,1
